Time,Cp
min,ug/mL
0,0.105
5.38,1.54
10.33,1.975
15.3,1.86
20.35,2.3
23.13,2.225
28.15,2.425
33.18,2.425
38.23,2.775
40.62,2.9
45.25,2.425
50.08,2.35
60.42,1.65
80.35,0.6515
