Time,Cp
min,g/L
5,0.062
15,0.15
30,0.23
45,0.32
60,0.39
90,0.49
120,0.63
125,0.6
130,0.57
135,0.51
150,0.46
165,0.43
180,0.42
210,0.33
240,0.25
270,0.16
300,0.074
315,0.043
330,0.027
345,0.016
360,0.012
375,0.0066
390,0.0031
