Time,Cp
hr,umol/L
0.03,424.6
0.083,385.5974
0.15,331.8278
0.17,308.5991
0.33,297.8582
0.5,223.6418
0.67,179.5525
0.83,128.5579
1,119.8342
1.5,77.1658
2,56.0884
4,37.3375
6,26.9024
8,19.3738
10,15.1902
10.5,35.9387
11,51.911
11.5,68.4946
12,62.2513
12.5,77.3449
13,67.8521
15,28.0875
16,27.6747
17,23.3093
18,17.3633
20,14.9037
24,7.9236
26,4.8544
28,4.0853
30,3.6642
32,2.4908
36,1.3106
