Free_fraction,Group,Percent,Cp_protein
0.01,1,0.6,10
0.05,1,0.8,10
0.1,1,1.3,10
0.5,1,2,10
1,1,5.1,10
5,1,25,10
10,1,35,10
50,1,75,10
100,1,80,10
0.01,2,38,0.1
0.05,2,40,0.1
0.1,2,52,0.1
0.5,2,71,0.1
1,2,85,0.1
5,2,93,0.1
10,2,97,0.1
50,2,100,0.1
100,2,99,0.1
