Time,Cp
0,100
0.32,Missing
0.4163,215
0.5,225
0.633,227
0.833,230
1.333,225
2.333,220
3.333,220
4.333,210
6.333,195
10.333,185
12.333,170
15.333,165
18.333,160
24.333,160
30.333,165
48,Missing
48.317,Missing
48.333,140
50,Missing
55,Missing
60,Missing
65,Missing
70,Missing
72.333,125
75,Missing
80,Missing
85,Missing
90,Missing
96.333,120
100,Missing
110,Missing
120,Missing
130,Missing
144.333,115
