Time,Cp
min,ug/L
2,120
5,99
10,83
15,75
20,79
25,82
30,52
33,44
35,36
37,31
40,25
45,21
50,13
60,10.5
70,5.8
90,2.5
110,1.2
120,0.55
150,0.2
