Time,Cp
hr,ug/L
0.25,470
0.5,600
0.75,700
1.05,750
1.25,830
1.49,880
1.75,900
1.99,950
2.16,460
2.35,330
2.4,300
2.65,220
2.81,170
2.95,140
3.11,120
3.56,74
4.15,47
6,22
7,17
